t1,W,expected_W,wind_a,wind_b,n_beta
-3.0,0,0,0.0,0.0,150
-2.98,0,0,-1.4135798584282297e-16,0.0,150
-2.96,0,0,0.0,0.0,150
-2.94,0,0,0.0,0.0,150
-2.92,0,0,0.0,0.0,150
-2.9,0,0,0.0,1.4135798584282297e-16,150
-2.88,0,0,0.0,0.0,150
-2.86,0,0,0.0,0.0,150
-2.84,0,0,1.4135798584282297e-16,0.0,150
-2.82,0,0,0.0,0.0,150
-2.8,0,0,0.0,1.4135798584282297e-16,150
-2.78,0,0,0.0,1.4135798584282297e-16,150
-2.76,0,0,0.0,0.0,150
-2.74,0,0,0.0,0.0,150
-2.7199999999999998,0,0,-1.4135798584282297e-16,0.0,150
-2.7,0,0,0.0,1.4135798584282297e-16,150
-2.68,0,0,-1.4135798584282297e-16,0.0,150
-2.66,0,0,1.4135798584282297e-16,0.0,150
-2.64,0,0,0.0,0.0,150
-2.62,0,0,0.0,1.4135798584282297e-16,150
-2.6,0,0,0.0,-1.4135798584282297e-16,150
-2.58,0,0,0.0,-1.4135798584282297e-16,150
-2.56,0,0,1.4135798584282297e-16,0.0,150
-2.54,0,0,0.0,0.0,150
-2.52,0,0,0.0,0.0,150
-2.5,0,0,0.0,0.0,150
-2.48,0,0,0.0,0.0,150
-2.46,0,0,0.0,0.0,150
-2.44,0,0,0.0,-1.4135798584282297e-16,150
-2.42,0,0,-1.4135798584282297e-16,1.4135798584282297e-16,150
-2.4,0,0,-1.4135798584282297e-16,-1.4135798584282297e-16,150
-2.38,0,0,0.0,0.0,150
-2.36,0,0,1.4135798584282297e-16,0.0,150
-2.34,0,0,0.0,1.4135798584282297e-16,150
-2.32,0,0,0.0,0.0,150
-2.3,0,0,0.0,0.0,150
-2.2800000000000002,0,0,0.0,0.0,150
-2.26,0,0,0.0,1.4135798584282297e-16,150
-2.24,0,0,1.4135798584282297e-16,-1.4135798584282297e-16,150
-2.2199999999999998,0,0,-1.4135798584282297e-16,1.4135798584282297e-16,150
-2.2,0,0,0.0,-1.4135798584282297e-16,150
-2.1799999999999997,0,0,0.0,1.4135798584282297e-16,150
-2.16,0,0,0.0,0.0,150
-2.14,0,0,0.0,0.0,150
-2.12,0,0,0.0,1.4135798584282297e-16,150
-2.1,0,0,0.0,0.0,150
-2.08,0,0,0.0,0.0,150
-2.06,0,0,-1.4135798584282297e-16,-1.4135798584282297e-16,150
-2.04,0,0,-1.4135798584282297e-16,0.0,150
-2.02,0,0,0.0,-1.4135798584282297e-16,150
-2.0,0,0,-1.4135798584282297e-16,0.0,150
-1.98,0,0,0.0,0.0,150
-1.96,0,0,0.0,-1.4135798584282297e-16,150
-1.94,0,0,0.0,-1.4135798584282297e-16,150
-1.92,0,0,0.0,0.0,150
-1.9,0,0,0.0,0.0,150
-1.88,0,0,0.0,0.0,150
-1.8599999999999999,0,0,-1.4135798584282297e-16,0.0,150
-1.84,0,0,0.0,0.0,150
-1.82,0,0,0.0,0.0,150
-1.8,0,0,-1.4135798584282297e-16,0.0,150
-1.78,0,0,0.0,0.0,150
-1.76,0,0,0.0,-1.4135798584282297e-16,150
-1.74,0,0,0.0,0.0,150
-1.72,0,0,-1.4135798584282297e-16,0.0,150
-1.7,0,0,-1.4135798584282297e-16,0.0,150
-1.68,0,0,0.0,0.0,150
-1.66,0,0,0.0,1.4135798584282297e-16,150
-1.64,0,0,0.0,0.0,150
-1.6199999999999999,0,0,0.0,0.0,150
-1.5999999999999999,0,0,0.0,0.0,150
-1.58,0,0,0.0,0.0,150
-1.56,1,1,1.0,-1.0,150
-1.54,1,1,1.0,-0.9999999999999999,150
-1.52,1,1,1.0,-1.0,150
-1.5,1,1,1.0,-1.0,150
-1.48,1,1,1.0,-1.0,150
-1.46,1,1,1.0,-0.9999999999999999,150
-1.44,1,1,1.0,-1.0,150
-1.42,1,1,1.0,-1.0,150
-1.4,1,1,1.0,-1.0,150
-1.38,1,1,1.0,-1.0,150
-1.3599999999999999,1,1,1.0,-1.0,150
-1.3399999999999999,1,1,1.0,-1.0,150
-1.32,1,1,1.0,-0.9999999999999999,150
-1.3,1,1,1.0,-1.0,150
-1.28,1,1,1.0,-1.0,150
-1.26,1,1,1.0,-1.0000000000000002,150
-1.24,1,1,1.0,-1.0000000000000002,150
-1.22,1,1,1.0,-1.0,150
-1.2,1,1,1.0,-1.0,150
-1.18,1,1,1.0,-1.0,150
-1.16,1,1,1.0,-1.0,150
-1.14,1,1,1.0,-1.0,150
-1.1199999999999999,1,1,1.0,-1.0,150
-1.0999999999999999,1,1,1.0,-1.0,150
-1.08,1,1,1.0,-1.0,150
-1.06,1,1,1.0,-1.0,150
-1.04,1,1,1.0,-1.0000000000000002,150
-1.02,1,1,1.0,-1.0,150
-1.0,1,1,1.0,-1.0,150
-0.98,1,1,1.0,-1.0,150
-0.96,1,1,1.0,-1.0,150
-0.94,1,1,1.0,-1.0000000000000002,150
-0.9199999999999999,1,1,1.0,-1.0,150
-0.8999999999999999,1,1,1.0,-1.0000000000000002,150
-0.8799999999999999,1,1,1.0,-1.0,150
-0.8599999999999999,1,1,1.0,-1.0,150
-0.8399999999999999,1,1,1.0,-1.0,150
-0.8199999999999998,1,1,1.0,-0.9999999999999999,150
-0.7999999999999998,1,1,1.0,-1.0,150
-0.7799999999999998,1,1,1.0,-1.0,150
-0.7599999999999998,1,1,1.0,-1.0,150
-0.7399999999999998,1,1,1.0,-1.0,150
-0.7199999999999998,1,1,1.0,-1.0,150
-0.6999999999999997,1,1,1.0,-1.0,150
-0.6800000000000002,1,1,1.0,-1.0000000000000002,150
-0.6600000000000001,0,0,0.0,0.0,150
-0.6400000000000001,0,0,0.0,0.0,150
-0.6200000000000001,0,0,0.0,0.0,150
-0.6000000000000001,0,0,1.4135798584282297e-16,0.0,150
-0.5800000000000001,0,0,1.4135798584282297e-16,0.0,150
-0.56,0,0,0.0,0.0,150
-0.54,0,0,1.4135798584282297e-16,0.0,150
-0.52,0,0,0.0,0.0,150
-0.5,0,0,-1.4135798584282297e-16,0.0,150
-0.48,0,0,0.0,0.0,150
-0.45999999999999996,0,0,0.0,0.0,150
-0.43999999999999995,0,0,0.0,0.0,150
-0.41999999999999993,0,0,1.4135798584282297e-16,0.0,150
-0.3999999999999999,0,0,0.0,0.0,150
-0.3799999999999999,0,0,0.0,0.0,150
-0.3599999999999999,0,0,-1.4135798584282297e-16,0.0,150
-0.33999999999999986,0,0,0.0,0.0,150
-0.31999999999999984,0,0,-1.4135798584282297e-16,0.0,150
-0.2999999999999998,0,0,-1.4135798584282297e-16,0.0,150
-0.2799999999999998,0,0,-1.4135798584282297e-16,0.0,150
-0.2599999999999998,0,0,0.0,0.0,150
-0.23999999999999977,0,0,0.0,0.0,150
-0.21999999999999975,0,0,0.0,0.0,150
-0.19999999999999973,0,0,0.0,0.0,150
-0.18000000000000016,0,0,-1.4135798584282297e-16,0.0,150
-0.16000000000000014,0,0,0.0,0.0,150
-0.14000000000000012,0,0,0.0,0.0,150
-0.1200000000000001,0,0,0.0,0.0,150
-0.10000000000000009,0,0,0.0,0.0,150
-0.08000000000000007,0,0,-1.4135798584282297e-16,0.0,150
-0.06000000000000005,0,0,0.0,0.0,150
-0.040000000000000036,0,0,-1.4135798584282297e-16,0.0,150
-0.020000000000000018,0,0,0.0,0.0,150
0.0,0,0,0.0,0.0,150
0.020000000000000018,0,0,0.0,0.0,150
0.040000000000000036,0,0,-1.4135798584282297e-16,0.0,150
0.06000000000000005,0,0,-1.4135798584282297e-16,0.0,150
0.08000000000000007,0,0,-1.4135798584282297e-16,0.0,150
0.10000000000000009,0,0,-1.4135798584282297e-16,0.0,150
0.1200000000000001,0,0,0.0,0.0,150
0.14000000000000012,0,0,0.0,0.0,150
0.16000000000000014,0,0,0.0,0.0,150
0.18000000000000016,0,0,-1.4135798584282297e-16,0.0,150
0.20000000000000018,0,0,0.0,0.0,150
0.2200000000000002,0,0,0.0,0.0,150
0.2400000000000002,0,0,0.0,0.0,150
0.26000000000000023,0,0,0.0,0.0,150
0.28000000000000025,0,0,0.0,0.0,150
0.30000000000000027,0,0,0.0,0.0,150
0.3200000000000003,0,0,-1.4135798584282297e-16,0.0,150
0.33999999999999986,0,0,0.0,0.0,150
0.3599999999999999,0,0,-1.4135798584282297e-16,0.0,150
0.3799999999999999,0,0,0.0,0.0,150
0.3999999999999999,0,0,0.0,0.0,150
0.41999999999999993,0,0,1.4135798584282297e-16,0.0,150
0.43999999999999995,0,0,0.0,0.0,150
0.45999999999999996,0,0,-1.4135798584282297e-16,0.0,150
0.48,0,0,0.0,0.0,150
0.5,0,0,0.0,0.0,150
0.52,0,0,0.0,0.0,150
0.54,0,0,0.0,0.0,150
0.56,0,0,0.0,0.0,150
0.5800000000000001,0,0,0.0,0.0,150
0.6000000000000001,0,0,0.0,0.0,150
0.6200000000000001,0,0,0.0,0.0,150
0.6400000000000001,0,0,0.0,0.0,150
0.6600000000000001,0,0,0.0,0.0,150
0.6800000000000002,1,1,1.0,-1.0,150
0.7000000000000002,1,1,1.0,-1.0,150
0.7200000000000002,1,1,1.0,-1.0,150
0.7400000000000002,1,1,1.0,-1.0,150
0.7600000000000002,1,1,1.0,-1.0,150
0.7800000000000002,1,1,1.0,-1.0,150
0.8000000000000003,1,1,1.0,-1.0,150
0.8200000000000003,1,1,1.0,-1.0,150
0.8399999999999999,1,1,1.0,-1.0,150
0.8599999999999999,1,1,1.0,-1.0,150
0.8799999999999999,1,1,1.0,-1.0,150
0.8999999999999999,1,1,1.0,-1.0000000000000002,150
0.9199999999999999,1,1,1.0,-1.0,150
0.94,1,1,1.0,-1.0000000000000002,150
0.96,1,1,1.0,-1.0,150
0.98,1,1,1.0,-1.0,150
1.0,1,1,1.0,-1.0,150
1.0200000000000005,1,1,1.0,-1.0,150
1.04,1,1,1.0,-1.0000000000000002,150
1.0600000000000005,1,1,1.0,-1.0,150
1.08,1,1,1.0,-1.0,150
1.0999999999999996,1,1,1.0,-1.0,150
1.12,1,1,1.0,-1.0,150
1.1399999999999997,1,1,1.0,-1.0,150
1.1600000000000001,1,1,1.0,-1.0,150
1.1799999999999997,1,1,1.0,-1.0,150
1.2000000000000002,1,1,1.0,-1.0,150
1.2199999999999998,1,1,1.0,-1.0,150
1.2400000000000002,1,1,1.0,-1.0,150
1.2599999999999998,1,1,1.0,-1.0,150
1.2800000000000002,1,1,1.0,-1.0,150
1.2999999999999998,1,1,1.0,-1.0000000000000002,150
1.3200000000000003,1,1,1.0,-1.0,150
1.3399999999999999,1,1,1.0,-0.9999999999999999,150
1.3600000000000003,1,1,1.0,-1.0000000000000002,150
1.38,1,1,1.0,-1.0,150
1.4000000000000004,1,1,1.0,-1.0,150
1.42,1,1,1.0,-1.0,150
1.4400000000000004,1,1,1.0,-1.0,150
1.46,1,1,1.0,-1.0,150
1.4800000000000004,1,1,1.0,-1.0,150
1.5,1,1,1.0,-1.0,150
1.5200000000000005,1,1,1.0,-1.0,150
1.54,1,1,1.0,-1.0,150
1.5600000000000005,1,1,1.0,-1.0,150
1.58,0,0,0.0,0.0,150
1.6000000000000005,0,0,0.0,0.0,150
1.62,0,0,0.0,0.0,150
1.6399999999999997,0,0,0.0,0.0,150
1.6600000000000001,0,0,0.0,0.0,150
1.6799999999999997,0,0,0.0,0.0,150
1.7000000000000002,0,0,0.0,0.0,150
1.7199999999999998,0,0,0.0,0.0,150
1.7400000000000002,0,0,0.0,0.0,150
1.7599999999999998,0,0,0.0,0.0,150
1.7800000000000002,0,0,0.0,0.0,150
1.7999999999999998,0,0,0.0,0.0,150
1.8200000000000003,0,0,0.0,0.0,150
1.8399999999999999,0,0,0.0,0.0,150
1.8600000000000003,0,0,0.0,0.0,150
1.88,0,0,0.0,0.0,150
1.9000000000000004,0,0,0.0,0.0,150
1.92,0,0,0.0,0.0,150
1.9400000000000004,0,0,0.0,0.0,150
1.96,0,0,0.0,0.0,150
1.9800000000000004,0,0,0.0,0.0,150
2.0,0,0,0.0,0.0,150
2.0200000000000005,0,0,0.0,0.0,150
2.04,0,0,0.0,0.0,150
2.0600000000000005,0,0,0.0,0.0,150
2.08,0,0,0.0,0.0,150
2.1000000000000005,0,0,0.0,0.0,150
2.12,0,0,0.0,0.0,150
2.1399999999999997,0,0,0.0,0.0,150
2.16,0,0,0.0,0.0,150
2.1799999999999997,0,0,0.0,0.0,150
2.2,0,0,0.0,0.0,150
2.2199999999999998,0,0,0.0,0.0,150
2.24,0,0,0.0,0.0,150
2.26,0,0,0.0,0.0,150
2.2800000000000002,0,0,0.0,0.0,150
2.3,0,0,0.0,0.0,150
2.3200000000000003,0,0,0.0,0.0,150
2.34,0,0,0.0,0.0,150
2.3600000000000003,0,0,0.0,0.0,150
2.38,0,0,0.0,0.0,150
2.4000000000000004,0,0,0.0,0.0,150
2.42,0,0,0.0,0.0,150
2.4400000000000004,0,0,0.0,0.0,150
2.46,0,0,0.0,0.0,150
2.4800000000000004,0,0,0.0,0.0,150
2.5,0,0,0.0,0.0,150
2.5200000000000005,0,0,0.0,0.0,150
2.54,0,0,0.0,0.0,150
2.5600000000000005,0,0,0.0,0.0,150
2.58,0,0,0.0,0.0,150
2.6000000000000005,0,0,0.0,0.0,150
2.62,0,0,0.0,0.0,150
2.6399999999999997,0,0,0.0,0.0,150
2.66,0,0,0.0,0.0,150
2.6799999999999997,0,0,0.0,0.0,150
2.7,0,0,0.0,0.0,150
2.7199999999999998,0,0,0.0,0.0,150
2.74,0,0,0.0,0.0,150
2.76,0,0,0.0,0.0,150
2.7800000000000002,0,0,0.0,0.0,150
2.8,0,0,0.0,0.0,150
2.8200000000000003,0,0,0.0,0.0,150
2.84,0,0,0.0,0.0,150
2.8600000000000003,0,0,0.0,0.0,150
2.88,0,0,0.0,0.0,150
2.9000000000000004,0,0,0.0,0.0,150
2.92,0,0,0.0,0.0,150
2.9400000000000004,0,0,0.0,0.0,150
2.96,0,0,0.0,0.0,150
2.9800000000000004,0,0,0.0,0.0,150
3.0,0,0,0.0,0.0,150
