time,mean_photon_number,analytic_mean_photon_number,absolute_error,trace,hermiticity_error,minimum_density_eigenvalue
0.0,2.9999999999999996,3.0,4.440892098500626e-16,1.0,0.0,0.0
0.05,2.9435662189242446,2.9435662189242526,7.993605777301127e-15,0.9999999999999998,0.0,1.8195993026734623e-28
0.1,2.8882499015841097,2.888249901584121,1.1546319456101628e-14,0.9999999999999999,0.0,6.23277387985553e-25
0.15000000000000002,2.834028920715093,2.834028920715109,1.5987211554602254e-14,1.0,0.0,6.428885576235756e-23
0.2,2.780881587201909,2.780881587201912,3.1086244689504383e-15,0.9999999999999999,0.0,1.615205250531585e-21
0.25,2.728786641402469,2.728786641402485,1.5987211554602254e-14,1.0,0.0,1.8737278839155762e-20
0.30000000000000004,2.6777232446439,2.6777232446438988,1.3322676295501878e-15,1.0,0.0,1.3338242702479787e-19
0.35000000000000003,2.6276709708865575,2.6276709708865966,3.907985046680551e-14,1.0000000000000002,0.0,6.781235445484634e-19
0.4,2.5786097985536514,2.5786097985537024,5.10702591327572e-14,1.0,0.0,2.695711159797978e-18
0.45,2.5305201025220745,2.530520102522125,5.062616992290714e-14,1.0,0.0,8.883250415934264e-18
0.5,2.483382646272185,2.4833826462722484,6.350475700855895e-14,1.0,0.0,2.5253919730451523e-17
0.55,2.4371785741929717,2.4371785741930636,9.192646643896296e-14,1.0,0.0,6.372336716129757e-17
0.6000000000000001,2.391889404039581,2.391889404039677,9.636735853746359e-14,1.0000000000000002,0.0,1.4574788723313746e-16
0.65,2.347497019540164,2.347497019540164,0.0,1.0000000000000002,0.0,3.070183400161607e-16
0.7000000000000001,2.303983663148788,2.3039836631488178,2.9753977059954195e-14,1.0000000000000002,0.0,6.030684020765126e-16
0.75,2.261331928942714,2.261331928942896,1.8207657603852567e-13,0.9999999999999997,0.0,1.1155101802827382e-15
0.8,2.2195247556600393,2.219524755660019,2.042810365310288e-14,1.0000000000000002,0.0,1.958492328670826e-15
0.8500000000000001,2.1785454198732297,2.1785454198734375,2.078337502098293e-13,1.0000000000000002,0.0,3.284897376231902e-15
0.9,2.1383775293024656,2.1383775293024385,2.708944180085382e-14,1.0,0.0,5.291756933091156e-15
0.9500000000000001,2.0990050162549134,2.099005016255214,3.006483950684924e-13,1.0,0.0,8.224401225835739e-15
1.0,2.06041213120158,2.060412131201572,7.993605777301127e-15,0.9999999999999999,0.0,1.237890430982605e-14
1.05,2.022583436472667,2.0225834364729116,2.446931546273845e-13,1.0000000000000002,0.0,1.8102511885265283e-14
1.1,1.9855038000866159,1.9855038000869527,3.368416656712725e-13,1.0000000000000002,0.0,2.5791846346668486e-14
1.1500000000000001,1.9491583896947515,1.9491583896947389,1.2656542480726785e-14,1.0000000000000004,0.0,3.588883209940196e-14
1.2000000000000002,1.913532666647396,1.9135326666475014,1.0547118733938987e-13,0.9999999999999999,0.0,4.887441420418217e-14
1.25,1.878612380180441,1.8786123801810053,5.642153411145046e-13,1.0,0.0,6.52602713422755e-14
1.3,1.8443835617145836,1.844383561715054,4.702904732312163e-13,1.0000000000000002,0.0,8.55788219564996e-14
1.35,1.8108325192657415,1.8108325192658705,1.290079154614432e-13,0.9999999999999997,0.0,1.1037189915241192e-13
1.4000000000000001,1.7779458319691928,1.7779458319691224,7.038813976123492e-14,1.0,0.0,1.4017853617328078e-13
1.4500000000000002,1.7457103447114397,1.7457103447113957,4.39648317751562e-14,0.9999999999999999,0.0,1.7552231242300636e-13
1.5,1.7141131628676465,1.714113162867975,3.2862601528904634e-13,1.0000000000000002,0.0,2.1689871431904017e-13
1.55,1.683141647144115,1.6831416471448222,7.072120666862247e-13,1.0,0.0,2.647629462967276e-13
1.6,1.6527834085217201,1.6527834085226882,9.681144774731365e-13,1.0,0.0,3.1951857741527254e-13
1.6500000000000001,1.6230263033002117,1.6230263033013426,1.1308731728831845e-12,1.0000000000000002,0.0,3.8150736415704123e-13
1.7000000000000002,1.5938584282406834,1.5938584282419301,1.2467804566540508e-12,1.0000000000000002,0.0,4.510005190027353e-13
1.75,1.565268115804164,1.565268115805517,1.3531398224131408e-12,0.9999999999999999,0.0,5.281916269902639e-13
1.8,1.537243929484455,1.537243929485919,1.4639400802707314e-12,0.9999999999999999,0.0,6.131913430113144e-13
1.85,1.5097746592333856,1.5097746592349477,1.5620837956475953e-12,0.9999999999999999,0.0,7.060239349122567e-13
1.9000000000000001,1.4828493169766483,1.482849316978241,1.5927259511272496e-12,1.0000000000000002,0.0,8.066256746677559e-13
1.9500000000000002,1.4564571322184323,1.4564571322198867,1.454392162258955e-12,0.9999999999999998,0.0,9.148450239282109e-13
2.0,1.4305875477330452,1.4305875477340815,1.0362821711851211e-12,0.9999999999999999,0.0,1.0304445124232887e-12
2.0500000000000003,1.4052302153417413,1.4052302153420977,3.5638159090467525e-13,1.0,0.0,1.1531041687880673e-12
2.1,1.3803749917729191,1.380374991772877,4.218847493575595e-14,1.0000000000000004,0.0,1.282426333589414e-12
2.15,1.3560119346054176,1.3560119346055841,1.6653345369377348e-13,1.0,0.0,1.4179416598413507e-12
2.2,1.3321312982915465,1.3321312982925066,9.601208716958354e-13,0.9999999999999999,0.0,1.5591160991884323e-12
2.25,1.3087235302584566,1.3087235302607074,2.2508661601250424e-12,1.0000000000000002,0.0,1.7053586624847191e-12
2.3000000000000003,1.2857792670877282,1.2857792670908652,3.1370461783808423e-12,1.0,0.0,1.8560297433635978e-12
2.35,1.2632893307694786,1.263289330771785,2.3063773113563e-12,1.0,0.0,2.01044980852617e-12
2.4000000000000004,1.241244725028826,1.241244725029069,2.4291679778798425e-13,1.0,0.0,2.1679082665042485e-12
2.45,1.219636631725849,1.2196366317264886,6.397105067890152e-13,0.9999999999999997,0.0,2.327672331629433e-12
2.5,1.1984564073357629,1.1984564073386106,2.8477220581635265e-12,0.9999999999999999,0.0,2.488995704036508e-12
2.5500000000000003,1.1776955794888793,1.1776955794932729,4.3935965976515945e-12,1.0,0.0,2.6511269758391167e-12
2.6,1.157345843580675,1.1573458435825235,1.8485213360008856e-12,1.0000000000000002,0.0,2.813317619991396e-12
2.6500000000000004,1.1373990594400645,1.1373990594406633,5.988542994828094e-13,1.0000000000000002,0.0,2.974829482832417e-12
2.7,1.1178472480844766,1.1178472480880766,3.6000091796495326e-12,1.0000000000000004,0.0,3.1349416330249405e-12
2.75,1.0986825885340457,1.0986825885395266,5.480949027969473e-12,1.0000000000000002,0.0,3.2929565787022453e-12
2.8000000000000003,1.0798974146746756,1.0798974146756626,9.869882688917642e-13,1.0000000000000002,0.0,3.4482058361029706e-12
2.85,1.061484212174346,1.061484212176466,2.120081887824199e-12,0.9999999999999999,0.0,3.6000547789053783e-12
2.9000000000000004,1.043435615508782,1.043435615515425,6.642908445542162e-12,1.0000000000000002,0.0,3.747906685094536e-12
2.95,1.0257444050102782,1.0257444050132238,2.9456437289354653e-12,1.0000000000000002,0.0,3.891206156788395e-12
3.0,1.0084035039479486,1.0084035039497758,1.8272050539280826e-12,1.0000000000000002,0.0,4.029441854402776e-12
3.0500000000000003,0.9914059757257989,0.9914059757334404,7.641443033890027e-12,1.0000000000000002,0.0,4.162148466623342e-12
3.1,0.9747450211229945,0.9747450211262941,3.2995828291859652e-12,1.0000000000000007,0.0,4.288908106473102e-12
3.1500000000000004,0.9584139755216353,0.9584139755243454,2.710054403110007e-12,1.0000000000000002,0.0,4.409351140770561e-12
3.2,0.9424063062823786,0.9424063062916032,9.224510044703038e-12,1.0,0.0,4.523156377462404e-12
3.25,0.9267156101454291,0.9267156101469359,1.5067946890212625e-12,1.0000000000000004,0.0,4.630050831588461e-12
3.3000000000000003,0.9113356105969426,0.9113356106026733,5.730749208510133e-12,1.0000000000000002,0.0,4.729809004221695e-12
3.35,0.8962601554449047,0.8962601554539291,9.024447855665585e-12,1.0,0.0,4.822251750513014e-12
3.4000000000000004,0.8814832143159891,0.8814832143176341,1.6450174555870944e-12,1.0,0.0,4.907244843584116e-12
3.45,0.8669988762093971,0.8669988762203059,1.0908829395361863e-11,0.9999999999999999,0.0,4.984697157480901e-12
3.5,0.8528013472309116,0.8528013472335784,2.666755705149626e-12,1.0000000000000002,0.0,5.054558718519878e-12
3.5500000000000003,0.8388849481493401,0.8388849481565538,7.213674102501955e-12,1.0000000000000002,0.0,5.116818408300654e-12
3.6,0.825244112234503,0.8252441122440469,9.543921208887696e-12,1.0000000000000002,0.0,5.171501645778216e-12
3.6500000000000004,0.8118733829765459,0.8118733829798126,3.2667202276570606e-12,1.0,0.0,5.218667870105109e-12
3.7,0.7987674118802185,0.7987674118938661,1.3647638574809662e-11,1.0,0.0,5.258407908767167e-12
3.75,0.7859209564215219,0.7859209564230251,1.5031309530399994e-12,1.0,0.0,5.2908414725152695e-12
3.8000000000000003,0.773328877799791,0.773328877813812,1.4021006577991102e-11,0.9999999999999999,0.0,5.31611433117214e-12
3.85,0.7609861390652506,0.7609861390668872,1.6365797605999433e-12,1.0000000000000002,0.0,5.334395903429228e-12
3.9000000000000004,0.7488878029096998,0.7488878029221794,1.2479572930601535e-11,1.0,0.0,5.345876424080071e-12
3.95,0.7370290298793666,0.7370290298839178,4.551248267148367e-12,1.0000000000000002,0.0,5.350764643652032e-12
4.0,0.7254050762741845,0.7254050762847679,1.058342302684423e-11,1.0000000000000002,0.0,5.3492851552884085e-12
4.05,0.714011292380507,0.7140112923883019,7.794875855893224e-12,1.0000000000000002,0.0,5.341676197789127e-12
4.1000000000000005,0.7028431205199219,0.7028431205290417,9.119816013480886e-12,1.0000000000000002,0.0,5.328187262612895e-12
4.15,0.6918960932791851,0.6918960932893334,1.0148326623493631e-11,1.0,0.0,5.309077021811206e-12
4.2,0.6811658317039521,0.6811658317123184,8.366307646667792e-12,1.0000000000000002,0.0,5.284611253750597e-12
4.25,0.6706480435389146,0.6706480435502937,1.137911986859308e-11,1.0000000000000002,0.0,5.255060947543578e-12
4.3,0.6603385215393482,0.6603385215477557,8.407496920881385e-12,1.0,0.0,5.2207005358032935e-12
4.3500000000000005,0.6502331417470155,0.650233141758441,1.1425527191022411e-11,1.0,0.0,5.181806228349336e-12
4.4,0.6403278618863713,0.6403278618956939,9.322653760079902e-12,1.0,0.0,5.138654519128323e-12
4.45,0.630618719705357,0.6306187197154971,1.0140110973111405e-11,0.9999999999999999,0.0,5.091520789392205e-12
4.5,0.6211018314203002,0.6211018314315216,1.1221468199096307e-11,0.9999999999999999,0.0,5.040678048019601e-12
4.55,0.6117733901541978,0.6117733901615602,7.362332965499263e-12,1.0000000000000002,0.0,4.98639582848708e-12
4.6000000000000005,0.6026296643905868,0.6026296644047239,1.413702488406443e-11,1.0000000000000002,0.0,4.928939121954025e-12
4.65,0.593666996545433,0.5936669965487922,3.359201805608336e-12,1.0000000000000004,0.0,4.868567573635753e-12
4.7,0.5848818013893443,0.584881801407119,1.7774670624248756e-11,1.0000000000000004,0.0,4.805534577728361e-12
4.75,0.5762705647845733,0.5762705647845099,6.339373470609644e-14,1.0000000000000002,0.0,4.740086753679318e-12
4.800000000000001,0.567829842050338,0.5678298420714977,2.1159629604028396e-11,1.0000000000000002,0.0,4.672463193800981e-12
4.8500000000000005,0.5595562568666774,0.5595562568664532,2.2426505097428162e-13,1.0,0.0,4.6028951676524476e-12
4.9,0.5514464996025922,0.5514464996249782,2.2385981957029344e-11,1.0000000000000002,0.0,4.531605541249284e-12
4.95,0.5434973263341002,0.5434973263360444,1.944222560723574e-12,1.0000000000000002,0.0,4.458808631362433e-12
5.0,0.5357055572053947,0.5357055572243462,1.8951507030351422e-11,1.0000000000000002,0.0,4.384709828408532e-12
5.050000000000001,0.5280680754707047,0.5280680754783468,7.642109167704803e-12,1.0,0.0,4.309505525153157e-12
5.1000000000000005,0.5205818259939339,0.5205818260035137,9.579781412583088e-12,1.0,0.0,4.233382956391456e-12
5.15,0.5132438141841603,0.5132438142002391,1.607880495413383e-11,1.0000000000000004,0.0,4.156520161591566e-12
5.2,0.5060511047669785,0.5060511047659599,1.0185186027911186e-12,1.0000000000000004,0.0,4.079086009177682e-12
5.25,0.4990008204979044,0.4990008205209985,2.309408220213527e-11,1.0000000000000002,0.0,4.0012402070180695e-12
5.300000000000001,0.492090141258923,0.4920901412576515,1.2714829189519605e-12,1.0,0.0,3.923133433152177e-12
5.3500000000000005,0.48531630259007236,0.4853163026120707,2.199834758798147e-11,1.0000000000000002,0.0,3.844907437865218e-12
5.4,0.4786765949526732,0.47867659495847814,5.804967617706325e-12,1.0000000000000002,0.0,3.766695207508062e-12
5.45,0.4721683623163149,0.47216836232528203,8.967104836443696e-12,1.0000000000000002,0.0,3.688621170439122e-12
5.5,0.46578900131471895,0.46578900133265155,1.7932599849501685e-11,1.0000000000000002,0.0,3.610801380490856e-12
5.550000000000001,0.4595359601547143,0.4595359601511302,3.584132990397393e-12,1.0000000000000002,0.0,3.5333437694696596e-12
5.6000000000000005,0.4534067374560901,0.45340673748087046,2.4780344443087188e-11,1.0000000000000002,0.0,3.4563484023168955e-12
5.65,0.4473988815505939,0.4473988815510802,4.863331959370498e-13,1.0000000000000002,0.0,3.3799076986270044e-12
5.7,0.4415099891245896,0.44150998913928174,1.469213639637701e-11,1.0000000000000004,0.0,3.3041067762303422e-12
5.75,0.4357377045954532,0.4357377046099906,1.4537426817895494e-11,1.0000000000000002,0.0,3.2290236572287003e-12
5.800000000000001,0.4300797189767714,0.43007971897243025,4.341138559738056e-12,1.0000000000000002,0.0,3.1547296076570413e-12
5.8500000000000005,0.42453376893171746,0.424533768956905,2.5187518737368464e-11,1.0000000000000004,0.0,3.0812894281828934e-12
5.9,0.4190976361104122,0.4190976361094616,9.50572953684059e-13,1.0000000000000002,0.0,3.008761685104914e-12
5.95,0.41376914589072555,0.4137691459044782,1.3752665672939202e-11,1.0000000000000002,0.0,2.937199108987689e-12
6.0,0.4085461668589174,0.4085461668748256,1.5908163675248943e-11,1.0000000000000004,0.0,2.8666487799837945e-12
6.050000000000001,0.4034266097656267,0.40342660975925093,6.375788785817349e-12,1.0000000000000002,0.0,2.797152477691933e-12
