L,V,W,sample_count,mu_star,mu_star_sem,omega_av,omega_av_sem,omega_typ,omega_typ_sem,gap_ratio,gap_ratio_sem,ipr,ipr_sem,chi_typ_r,chi_typ_r_sem,chi_av_r,chi_av_r_sem,chi_typ,chi_typ_sem,tilde_chi_typ_r,tilde_chi_typ_r_sem,tilde_chi_av_r,tilde_chi_av_r_sem,tilde_chi_typ,tilde_chi_typ_sem
4,64,0.2,4,0.8389459275026324,0.0024052748705794217,0.10086192743183664,0.00028917317731331376,0.031236110104118253,0.001979832663189547,0.3168567946017683,0.03298165810891269,0.04135791851366953,0.0006207678004509922,0.07337181095654342,0.0018766003140470054,0.07699535651066486,0.0016383034762488535,56.06135481878003,13.987118079535062,0.061557329596508,0.0016190901861737423,0.06459592565213523,0.0014050808958280686,1.6772682499603129,0.3094970516221317
4,64,0.35,4,0.8328455705583129,0.0020285710742788004,0.10012851453923478,0.00024388411907940257,0.03148258123526836,0.002718554042580772,0.2781480622804201,0.01694272957510281,0.041629657338094116,0.0009456480448432748,0.08039851905890474,0.0011297304092666642,0.08332078798229345,0.001145809607069779,58.21958239829697,19.36090517468804,0.06695517159924194,0.0008477596591524235,0.06938929291495574,0.0008683262162773398,1.6989681285492857,0.42524093061841023
4,64,0.5,4,0.8249439960830388,0.0034068828132288306,0.09917855101334373,0.00040959107829459195,0.042798150325550566,0.0035999882258004696,0.3278347349435027,0.040250539305615285,0.041788672896796275,0.0011060208749392858,0.0850817005755246,0.0014971603457278257,0.08795706898901041,0.0012521194010402725,48.19454748548684,16.160553508317744,0.07017531215883108,0.0010190075681981254,0.07254955689876555,0.0008208868794855487,1.9096138082077285,0.4570411639790681
4,64,0.75,4,0.8108351275860273,0.00746995520254121,0.09748231812891098,0.0008980722771974112,0.04387193584871752,0.0026333014842091773,0.38182062430184294,0.06685682145509506,0.041885017238596375,0.0008493862006892719,0.09479790835377731,0.0020115278886547053,0.09804545678407654,0.0017148263997419126,30.622905022233113,2.495899067258927,0.07690522089264323,0.0022656841333653054,0.07953134831514477,0.0020369207957863364,1.3363790502935988,0.11462811077906795
4,64,1.0,4,0.8006505093088607,0.0034185654595217992,0.09625787660542637,0.00041099561961719977,0.052035883783330766,0.004806977616668632,0.4141245020599187,0.07763882361744753,0.04295153859144431,0.0011146391242923442,0.10957727175116776,0.002933439309358936,0.11256841733996817,0.0032431427145960885,28.128832588391095,6.234143838669593,0.08771348845759411,0.002133341908553858,0.09010580950285224,0.002368901737431748,1.4046339656065285,0.20750755387158948
4,64,1.5,4,0.796749367334726,0.011574526079130343,0.09578886342376902,0.0013915426145834446,0.06784403313875174,0.003926836850171801,0.48375067930332605,0.03120908688301701,0.04373435460128608,0.0009921883246296662,0.14301854525994978,0.005488303434785113,0.14607509754515147,0.005479005902289977,15.774634670140728,0.52180274865764,0.11378999111553974,0.003078477056397183,0.11622270593034248,0.0030291980092782664,1.0732697009698775,0.08583970328327008
4,64,2.0,4,0.8307032482836925,0.016260830062992934,0.09987095472910304,0.0019549515743848395,0.07230187795614929,0.004980407988873336,0.48710618446408727,0.04717237699027358,0.04512181753784113,0.0006418759327501185,0.15365740026512564,0.004767311409105497,0.15521988471395656,0.004666696421134114,18.585363495420413,5.916596805484184,0.12741603080098302,0.0014890727950483342,0.12871932911627113,0.0014074745255397917,1.2581079206088441,0.32617430321921426
4,64,3.0,4,0.8624368934883628,0.02292047096676737,0.10368611910961202,0.0027556041498828965,0.08729280835403852,0.004720310338665901,0.550470696357755,0.018004479023721563,0.04511311767199548,0.0008913266447711035,0.17974684920927259,0.01794543444384119,0.18497396039459255,0.018373630086176658,10.295888249708531,1.7845178958999313,0.15399062299962632,0.011559206694627684,0.15845954490093386,0.011763813910041205,0.8793623336270315,0.11495894486461379
4,64,4.0,4,0.8714114970436525,0.01188096973001625,0.10476508711320875,0.0014283846758705273,0.08928415117871916,0.004151123267098862,0.5597337511314269,0.07754284392699161,0.046862998754823526,0.0024692875156180597,0.19363799124294578,0.008868595323800845,0.19842406067962026,0.008866733857347518,8.595324259532264,2.933600718319579,0.16862242753582776,0.007221939535866195,0.1727621419471876,0.006993736701243457,0.7308999016323687,0.20469807537440912
4,64,6.0,4,1.0307660635064573,0.04418523363344342,0.12392342401145036,0.005312151453624087,0.10760391209157881,0.005366555421541153,0.5119829198960693,0.0377098882234904,0.05613342452066985,0.0010453559944315623,0.177919370726229,0.007378535182444316,0.18246152651593328,0.00728959545298534,5.6630182085786505,0.9662532730264203,0.18268324722183768,0.005581506119205994,0.18730233633769583,0.004812289359140284,0.5958046213773786,0.07399640194905747
4,64,8.0,4,1.3066356400417722,0.08381370729237189,0.15708972984475347,0.010076468322435342,0.132144474489582,0.006994376212947969,0.5013429576132468,0.02075464301803166,0.08278178699687601,0.011020535672271877,0.15555051500291114,0.01722598847217472,0.1592657415887495,0.017815953058652995,4.6046997240568155,0.4393910646137013,0.1990289380623802,0.009948166466787967,0.20375333100200554,0.010495855392140853,0.6002622564072511,0.030689482377552302
4,64,10.0,4,1.5995392920619882,0.04178572513518395,0.19230395036373948,0.005023671536039936,0.16558382409811873,0.008041351583811855,0.5787008178443592,0.054303550522812556,0.12348844119210609,0.025973598277120195,0.1204131903202614,0.013810696551896135,0.1262082451471764,0.015391461482419424,4.790355551932359,0.7546654425141772,0.19122285790288107,0.01751441730095716,0.2004115525142773,0.01994918445765924,0.780334912404528,0.10912272644529197
4,64,12.0,4,1.8112748942431578,0.1291561514015803,0.2177597756342738,0.015527744927280335,0.18325706902761038,0.010843997309114634,0.5282394925947459,0.06341767718146928,0.17367161902124076,0.021877960186948955,0.09573597640513576,0.006325060045437242,0.10262458540659075,0.0062899952974671694,3.3952545499459146,0.9081424606486413,0.17248240522804842,0.012445311725397227,0.1847762067055376,0.012231781374763188,0.5967455310375271,0.12392721967553924
4,64,14.0,4,1.8328981853543767,0.11841591131136256,0.22035942687209495,0.014236504000937504,0.17182322147979584,0.007668436391131117,0.44348999618586726,0.037023976842584815,0.19193937264693944,0.038188992615132436,0.10452065706526706,0.012575742980595956,0.11233210320457382,0.014892340858270405,4.8249385627147445,0.8863730981118386,0.1910230476758854,0.025233978983931288,0.2051400597373141,0.028934356665429917,0.8386790278867814,0.16557987633987808
4,64,16.5,4,2.323676089291412,0.3204310349445899,0.27936299755441507,0.038523688755123166,0.19703773729161633,0.022436016540116097,0.42102556316338535,0.05745153359735651,0.2618745282788327,0.03525663730735606,0.07255317486454058,0.016064891322056036,0.0783813451565358,0.016996504686983167,3.4451655571065727,1.2462784582237043,0.1558955063624598,0.014376083092088075,0.16910727847529272,0.015928918087343643,0.6371366510797403,0.1779565651642925
4,64,20.0,4,2.898871520219712,0.1110768119641057,0.34851563053293577,0.013354163814864267,0.27049866436966796,0.01906095135662742,0.4877172912421229,0.04534868129204552,0.40657240298796904,0.03109674493828866,0.05235996561090964,0.006009225125045866,0.05966976029976535,0.006975248363253763,1.8894795348104259,1.0169198565781952,0.14980381614467886,0.011022981917525088,0.1707136643821221,0.01303316273596244,0.46256050487733574,0.21482411575702692
4,64,25.0,4,3.6908627718198472,0.22955971505919892,0.443732451458849,0.027598721875315823,0.313261044554892,0.01585430921573277,0.38056077391728105,0.02414586955808896,0.4612380830380697,0.025540051788619796,0.03383019962945646,0.0020318126989134094,0.04002784503071141,0.002251289324924103,1.0696841852467256,0.12541163264604718,0.12361674290341498,0.004098961537938301,0.14627425683435874,0.003461281804938208,0.3382686626277829,0.05337873888094033
4,64,30.0,4,4.412471884153251,0.2500315421873646,0.5304876087774898,0.030059938831627556,0.3816937534855826,0.038219754434037696,0.41264071282781817,0.0625431760081855,0.5470885432942802,0.04634461818000439,0.023382324998069335,0.002428732079886369,0.02844873808177559,0.0029445297430858264,0.5648109367596443,0.12067126570428839,0.1013841404559159,0.004592110995331502,0.12346829480586359,0.006822092742794407,0.22076348896299614,0.0651549660405053
4,64,40.0,4,5.928986274741086,0.3498219281108921,0.712809924672308,0.042057196739983274,0.5627565866358587,0.02625587994662116,0.4444298098058722,0.03488500069736819,0.616315694744972,0.05779142256482197,0.01342663157794969,0.0022807401246835394,0.016872070024698795,0.0030206299783327975,0.5015975706842037,0.16641411341276677,0.07724744235080734,0.008049006908629775,0.09691697735140943,0.011153045672327442,0.27750961111283023,0.08967254786757417
5,125,0.2,4,0.5847303164109174,0.00234903960217369,0.06055222881369975,0.00024325672791575316,0.014826532128471397,0.0016234661349207374,0.33239952941373807,0.022961152872427008,0.028424685514450675,0.0003124071221568687,0.04817171038827267,0.004085604256510191,0.09445720818355785,0.0027459794886176363,87.94960649083302,26.949832272339084,0.028142931106571917,0.002287703675684364,0.05521348530676081,0.0013866681171165272,1.1780234148019044,0.18389998906837865
5,125,0.35,4,0.5851739983047489,0.0010639683296318266,0.060598174657111245,0.0001101801154108816,0.01856260940299357,0.0013185051960235001,0.365943154373135,0.028780203635952732,0.029256724922944406,0.00047613471806619696,0.06467951891983117,0.003212101713413397,0.1057495962036091,0.0032436972672612277,68.73866561048087,13.817864046654195,0.03785640344869808,0.0019326237889290736,0.06188907308291071,0.001979516928269321,1.2391232141754724,0.2220522898704709
5,125,0.5,4,0.5845241279731443,0.001352394538269678,0.0605308768004513,0.00014004832865576128,0.021967314908877014,0.001073316359384626,0.3558146604159347,0.02755514207775237,0.027667470790158716,0.0006596324594896445,0.0803747950496627,0.005951917431442803,0.11199557490215563,0.003443516479585623,77.73945434568394,21.21318229029068,0.04695941544138316,0.003383822657120823,0.06545269597795174,0.0018920078356531925,1.6452150647843973,0.3509888740214765
5,125,0.75,4,0.5709084559290336,0.0028861891472564947,0.05912089468403252,0.00029888169082288016,0.02896276148055872,0.0009305426678380695,0.3704584472292027,0.01570013649211689,0.02767139924662332,0.0003958132758610522,0.1236807507608486,0.00848485343742376,0.1485291312904916,0.0066205047794999266,48.77073538073822,7.277024204637261,0.07061430977611532,0.004880017170593768,0.08479697744444509,0.0038147181796717405,1.4144629424703656,0.2159142375821875
5,125,1.0,4,0.5697078410650815,0.0054597518243890645,0.05899656402437836,0.0005653890904197487,0.03350821534057506,0.00037428524434153005,0.4125724830424697,0.023521934656817983,0.025207036125260995,0.00018797411907223464,0.15805201649287345,0.0023726245540242057,0.17836801387103945,0.004043175994691375,60.162315364404876,9.591068566118112,0.09002760544590371,0.0012625896518253415,0.10161125082509134,0.00241943521436856,2.009921547788608,0.3114036718567837
5,125,1.5,4,0.5485695546963479,0.004537946560545813,0.056807571394775117,0.0004699307882052914,0.04200203377033733,0.002520894609404805,0.49917666405333955,0.0536402129228419,0.025373617479869714,0.00022599338071403337,0.27899969481826464,0.007164186672475093,0.30088412120288205,0.008088258056367929,50.335135849246,5.528599162372782,0.1529594378312197,0.002778244902214588,0.16495981301350954,0.003290944828777551,2.076716983680196,0.13673187781249962
5,125,2.0,4,0.5405148520211884,0.007129080933895155,0.055973460034847225,0.0007382578392553223,0.04269963239406405,0.0006272369906967577,0.4712255644552469,0.013484276500228588,0.023900300145540357,0.00021943725841819402,0.33794109905310576,0.019079121227326856,0.3591094396027637,0.02055945600198489,33.87067386755382,4.691021459227354,0.18241546698246358,0.008909040534586146,0.19390119778411197,0.010066731197326442,1.438513839335398,0.18258845040171812
5,125,3.0,4,0.5427127874318756,0.009664436201544689,0.056201069043941475,0.0010008086391403857,0.04697192172053103,0.0014651799598079146,0.5032617131073285,0.02850670158015015,0.023862645288600846,0.0005829440868052676,0.4168256415245514,0.017006246189440074,0.4291120930888814,0.017286873813189184,21.801632873705397,3.1569808587767194,0.22574406387539606,0.005240646713670972,0.23240564636327365,0.005289878563371035,1.0145955640367998,0.12695904392581953
5,125,4.0,4,0.5636423905354686,0.015319311541043303,0.05836845130639642,0.001586403905642072,0.05039015824804404,0.002498065382122623,0.6096433794334005,0.024577732245722538,0.02521803389556894,0.0006285667504161259,0.4082875933042711,0.024976560279794682,0.4161429783032901,0.02594489105870738,16.148435156977072,2.8538615576385493,0.22906689036375422,0.007939088099615237,0.23344682836029057,0.008288792479500146,0.7982706261331332,0.11198623448615926
5,125,6.0,4,0.647930014272715,0.008590331429120156,0.06709692550289095,0.0008895788360596236,0.05621265615124385,0.002986045971181931,0.547303072984901,0.03181441106580013,0.034134559294945674,0.0016284483779314134,0.35389058022890807,0.02093219085905102,0.36151556560548015,0.02210823394237732,12.069055741891379,1.565388475576971,0.22886284538788543,0.011428015686819533,0.23380258990230285,0.012258040140375593,0.6659270270038362,0.06298737664529769
5,125,8.0,4,0.7235121088168597,0.014323236892476075,0.07492389146413503,0.0014832545762114055,0.06271196643923754,0.0013073321657018685,0.5472633045753057,0.015663198785576267,0.04414313795663277,0.0018157744043538503,0.3349753229560809,0.027116472180745803,0.3433867856814505,0.027435056024048297,15.641623284366208,1.2744656115898998,0.2413567316338635,0.015139302418542278,0.24742393244284067,0.015224261790286854,0.9799076878301303,0.07933918111699713
5,125,10.0,4,0.9162965421049325,0.04247610428968122,0.0948878420043278,0.004398647913196053,0.08030196213698104,0.005863733266670277,0.578628107409346,0.02969199512561045,0.07984834079766541,0.003964510343148093,0.2844421928637002,0.03154578170652353,0.29395691661407064,0.03251243790281274,9.801575130614873,1.930950890834056,0.2569478886197504,0.016525686594293935,0.26553025045062917,0.01690163592471436,0.7604930028371826,0.11306421606558184
5,125,12.0,4,1.009761837658518,0.02477423459360344,0.10456671755372476,0.002565516238330178,0.07892822839687963,0.004854495399875307,0.4874478860426033,0.0271743255082358,0.10144596857914108,0.005045867993749269,0.22131220525157166,0.00883611304705744,0.2276050496072412,0.008719663860392121,11.400150324475577,2.5913111411744576,0.22396747062739375,0.013529228093968601,0.23030718865064795,0.013501372706024257,0.8886483692454061,0.19149087725741804
5,125,14.0,4,1.165326666631322,0.07445515668713609,0.12067636135865717,0.007710264984637892,0.09159970025585706,0.004701191147055868,0.47257777969601383,0.054925684078357274,0.14975827654085289,0.01184625114630899,0.17693233221957755,0.008296076171664593,0.1884096706703628,0.008828710898846698,6.1397127029329095,0.7045248451731081,0.20465863196049874,0.007190741240602419,0.21795087707801006,0.007831574491097674,0.5676961487132519,0.08245978742765388
5,125,16.5,4,1.3057409972123464,0.11449015720918798,0.13521708284245593,0.011856122389548411,0.10394871138923012,0.010508985792915497,0.480686548601836,0.021231940311229602,0.21987241857426734,0.029148449930548243,0.15774390912149758,0.016287933668444943,0.17032521440599807,0.01704007491162549,4.553404031029081,1.1411252093801598,0.20149662783512662,0.014189129878363361,0.21783567762965927,0.015615114868569854,0.4462755487466518,0.10166036824703423
5,125,20.0,4,1.635361501882958,0.13734923798802262,0.1693512052922927,0.014223313299516762,0.1164278237172913,0.010960377528384328,0.4219710371825366,0.01818461705372569,0.27450226406607814,0.034852175142434376,0.13506605081035467,0.016062593165960728,0.14856598493907958,0.02024833349369979,8.163072679557539,2.1181720825715207,0.21473098243718297,0.010552415843115375,0.23544280043045193,0.015659846961674207,0.9055746408936167,0.17929911325467995
5,125,25.0,4,2.0042554999558635,0.11873111132195184,0.20755232665096976,0.01229529788056916,0.13993309113886648,0.00849468720893987,0.4701424280588493,0.017566216212410984,0.38944806743663196,0.04848646117947299,0.08658391344151288,0.007868537386740196,0.09704146578707704,0.008718154919691875,3.0626759993041075,0.6443024403953646,0.17088136412125732,0.006271147604760449,0.19157051460701463,0.006898861251155337,0.412694546619404,0.06692950348243533
5,125,30.0,4,2.40697737951188,0.1988528261173829,0.24925652209758,0.02059236795043966,0.1728652438778409,0.015493836052891329,0.43981317378258233,0.027066380873988445,0.4824626835826358,0.05538641602028277,0.0669981190343536,0.004376813396336716,0.07615848214536672,0.005030955157675755,1.4177836486048727,0.22948194742703007,0.1589359400364928,0.0054087305595264855,0.18052098429309818,0.005036319470916105,0.2413036311912717,0.038349265809242784
